Date of Sighting,Latitude of Sighting,Longitude of Sighting,Nearest Approximate City,US State,Notes about the sighting,Time of Day,Tag of Apparition,Image Link
1/16/2025,41.225982,-81.55249,Cleveland,Ohio,Temperature dropped suddenly by 10°F.,Night,Phantom Sounds,https://cdn.midjourney.com/264110e6-20e4-4b2a-bf2d-cec6478fec84/0_1.png
3/5/2022,41.723048,-81.900809,Cleveland,Ohio,Temperature dropped suddenly by 10°F.,Afternoon,Poltergeist,https://cdn.midjourney.com/9ebab934-da2d-4041-90c2-dc375e3728da/0_2.png
12/7/2020,41.614195,-81.900957,Cleveland,Ohio,Phantom footsteps heard in empty hallway.,Morning,Phantom Sounds,
3/29/2023,41.426128,-81.787505,Cleveland,Ohio,Figure disappeared upon approach.,Morning,Orbs,
9/25/2024,41.379092,-81.188661,Cleveland,Ohio,Electronic devices malfunctioned during sighting.,Dawn,Shadow Figure,
9/6/2025,41.378808,-81.992167,Cleveland,Ohio,Old radio emitted static and a faint melody.,Night,Headless Spirit,https://cdn.midjourney.com/8b1e424a-b365-4c8e-9853-603b893d780a/0_3.png
3/28/2023,39.852933,-83.075684,Columbus,Ohio,Disembodied voice whispered a name.,Dawn,Orbs,
3/1/2023,39.816603,-82.952936,Columbus,Ohio,Local dog barking frantically before sighting.,Dawn,Full-Body Apparition,https://cdn.midjourney.com/d442d607-bfd7-4012-990c-fff219d116fc/0_0.png
1/9/2025,39.847124,-82.855169,Columbus,Ohio,Apparition seen floating near old church grounds.,Evening,Full-Body Apparition,https://cdn.midjourney.com/7f74bbd0-d240-4d74-bb2a-6330b163a3f6/0_2.png
10/19/2021,39.889124,-82.865355,Columbus,Ohio,Scent of old perfume noticed with no source.,Midnight,Shadow Figure,
9/19/2024,39.857555,-82.717105,Columbus,Ohio,Apparition matched description of local legend.,Dawn,Full-Body Apparition,https://cdn.midjourney.com/8b1e424a-b365-4c8e-9853-603b893d780a/0_2.png
9/25/2023,41.511144,-81.865292,Cleveland,Ohio,Old radio emitted static and a faint melody.,Afternoon,Full-Body Apparition,https://cdn.midjourney.com/6c1d34b3-77c9-4475-a67e-5afffc90b88b/0_1.png
10/31/2020,41.406728,-81.717858,Cleveland,Ohio,Old radio emitted static and a faint melody.,Morning,Headless Spirit,https://cdn.midjourney.com/f4eb59bf-e6a9-47f8-9a00-769309f0403b/0_2.png
11/8/2021,39.94334,-82.943491,Columbus,Ohio,Disembodied voice whispered a name.,Night,Full-Body Apparition,https://cdn.midjourney.com/315d8dd8-0ac0-4935-9e0e-39cd7f4a0c00/0_1.png
4/2/2023,39.66753,-82.990527,Columbus,Ohio,Electronic devices malfunctioned during sighting.,Night,Poltergeist,https://cdn.midjourney.com/c8b325d2-ed83-40b4-8825-34f61c53d744/0_0.png
11/1/2024,41.363381,-81.602584,Cleveland,Ohio,Local dog barking frantically before sighting.,Night,White Lady,https://cdn.midjourney.com/8b1e424a-b365-4c8e-9853-603b893d780a/0_3.png
1/27/2023,41.747771,-81.359925,Cleveland,Ohio,Disembodied voice whispered a name.,Afternoon,Headless Spirit,
11/11/2023,41.529302,-81.678437,Cleveland,Ohio,Local dog barking frantically before sighting.,Evening,Phantom Sounds,https://cdn.midjourney.com/ffba09ea-d1b0-419a-8a75-4d7e5a9770d2/0_3.png
4/21/2025,41.555102,-81.860803,Cleveland,Ohio,Witness reported cold spots and flickering lights.,Morning,White Lady,https://cdn.midjourney.com/9ebab934-da2d-4041-90c2-dc375e3728da/0_2.png
7/5/2022,40.06678,-83.067288,Columbus,Ohio,Old radio emitted static and a faint melody.,Morning,Orbs,
5/14/2025,39.833023,-83.105883,Columbus,Ohio,Local dog barking frantically before sighting.,Night,Poltergeist,https://cdn.midjourney.com/3e0859e1-71b5-4435-a31c-4a856d9076de/0_0.png
5/9/2025,41.70009,-81.745736,Cleveland,Ohio,Temperature dropped suddenly by 10°F.,Afternoon,Phantom Sounds,https://cdn.midjourney.com/2519c7d3-5e9e-4691-8bad-a83ed41a3cb1/0_0.png
12/15/2021,40.098386,-83.313131,Columbus,Ohio,Glowing orb photographed in backyard.,Afternoon,Orbs,https://cdn.midjourney.com/7f74bbd0-d240-4d74-bb2a-6330b163a3f6/0_1.png
2/6/2022,39.981555,-82.938816,Columbus,Ohio,Figure disappeared upon approach.,Morning,Poltergeist,https://cdn.midjourney.com/6c1d34b3-77c9-4475-a67e-5afffc90b88b/0_1.png
10/10/2024,39.508826,-83.330263,Columbus,Ohio,Old radio emitted static and a faint melody.,Night,White Lady,https://cdn.midjourney.com/315d8dd8-0ac0-4935-9e0e-39cd7f4a0c00/0_1.png
6/21/2022,39.80083,-83.165798,Columbus,Ohio,Curtains moved though windows were shut.,Dawn,Full-Body Apparition,
10/9/2021,41.410082,-82.341304,Cleveland,Ohio,Old radio emitted static and a faint melody.,Midnight,Shadow Figure,
12/10/2024,40.073298,-82.799375,Columbus,Ohio,Witness reported cold spots and flickering lights.,Midnight,Full-Body Apparition,
1/8/2024,41.425631,-82.325848,Cleveland,Ohio,Temperature dropped suddenly by 10°F.,Afternoon,Poltergeist,https://cdn.midjourney.com/7f74bbd0-d240-4d74-bb2a-6330b163a3f6/0_3.png
11/9/2021,41.589781,-81.681299,Cleveland,Ohio,Disembodied voice whispered a name.,Evening,Headless Spirit,
12/5/2022,39.820783,-83.370787,Columbus,Ohio,Scent of old perfume noticed with no source.,Midnight,Phantom Sounds,https://cdn.midjourney.com/90895f4f-c3a6-4faf-b2ee-b7a9ec71d9cd/0_0.png
1/26/2023,40.011605,-82.743628,Columbus,Ohio,Scent of old perfume noticed with no source.,Morning,Poltergeist,https://cdn.midjourney.com/13275d75-635c-44d1-8170-b1c9a40f70c2/0_2.png
3/2/2022,41.187083,-82.253365,Cleveland,Ohio,Witness captured blurry image on phone.,Midnight,Full-Body Apparition,https://cdn.midjourney.com/ffba09ea-d1b0-419a-8a75-4d7e5a9770d2/0_3.png
7/15/2024,41.605174,-81.308204,Cleveland,Ohio,Curtains moved though windows were shut.,Night,Poltergeist,https://cdn.midjourney.com/7f74bbd0-d240-4d74-bb2a-6330b163a3f6/0_1.png
7/15/2021,41.486858,-81.613072,Cleveland,Ohio,Electronic devices malfunctioned during sighting.,Morning,White Lady,
11/19/2023,41.750846,-82.062406,Cleveland,Ohio,Glowing orb photographed in backyard.,Evening,White Lady,https://cdn.midjourney.com/3cf03f49-9828-4ae6-ad23-27e54684740e/0_1.png
3/7/2025,41.519302,-81.975468,Cleveland,Ohio,Flickering streetlamp coincided with sighting.,Evening,Full-Body Apparition,
5/8/2023,41.53721,-81.593936,Cleveland,Ohio,Apparition matched description of local legend.,Morning,Poltergeist,https://cdn.midjourney.com/f4eb59bf-e6a9-47f8-9a00-769309f0403b/0_0.png
9/11/2023,39.869314,-82.93161,Columbus,Ohio,Old radio emitted static and a faint melody.,Night,Phantom Sounds,https://cdn.midjourney.com/8b1e424a-b365-4c8e-9853-603b893d780a/0_2.png
11/26/2021,41.431798,-81.274876,Cleveland,Ohio,Curtains moved though windows were shut.,Morning,Poltergeist,
3/7/2021,41.459125,-81.729441,Cleveland,Ohio,Local dog barking frantically before sighting.,Morning,Full-Body Apparition,
5/11/2021,41.521868,-81.722802,Cleveland,Ohio,Flickering streetlamp coincided with sighting.,Midnight,Orbs,https://cdn.midjourney.com/d442d607-bfd7-4012-990c-fff219d116fc/0_2.png
6/1/2025,39.844575,-83.111028,Columbus,Ohio,Apparition seen floating near old church grounds.,Afternoon,Poltergeist,
3/3/2025,40.038458,-82.607414,Columbus,Ohio,Apparition matched description of local legend.,Dawn,Shadow Figure,
4/4/2023,40.138291,-83.356298,Columbus,Ohio,Witness captured blurry image on phone.,Midnight,Orbs,
10/14/2024,40.170668,-82.848217,Columbus,Ohio,Local dog barking frantically before sighting.,Afternoon,Poltergeist,https://cdn.midjourney.com/264110e6-20e4-4b2a-bf2d-cec6478fec84/0_0.png
12/2/2020,40.034947,-83.247028,Columbus,Ohio,Flickering streetlamp coincided with sighting.,Morning,White Lady,https://cdn.midjourney.com/3cf03f49-9828-4ae6-ad23-27e54684740e/0_2.png
2/27/2024,41.397747,-81.617648,Cleveland,Ohio,Electronic devices malfunctioned during sighting.,Night,Poltergeist,
10/25/2020,41.555061,-81.798129,Cleveland,Ohio,Figure disappeared upon approach.,Afternoon,Orbs,
7/31/2025,41.386056,-81.793232,Cleveland,Ohio,Figure disappeared upon approach.,Night,Headless Spirit,https://cdn.midjourney.com/f4eb59bf-e6a9-47f8-9a00-769309f0403b/0_0.png
8/1/2025,39.744898,-83.233742,Columbus,Ohio,Figure disappeared upon approach.,Midnight,Poltergeist,https://cdn.midjourney.com/7f74bbd0-d240-4d74-bb2a-6330b163a3f6/0_3.png
5/22/2022,40.09574,-83.170176,Columbus,Ohio,Witness reported cold spots and flickering lights.,Midnight,Shadow Figure,
8/16/2024,39.835482,-82.879736,Columbus,Ohio,Phantom footsteps heard in empty hallway.,Afternoon,Orbs,
11/18/2020,41.502059,-82.086344,Cleveland,Ohio,Figure disappeared upon approach.,Midnight,White Lady,https://cdn.midjourney.com/3cf03f49-9828-4ae6-ad23-27e54684740e/0_0.png
12/21/2024,40.10453,-83.813606,Columbus,Ohio,Disembodied voice whispered a name.,Morning,Full-Body Apparition,https://cdn.midjourney.com/13275d75-635c-44d1-8170-b1c9a40f70c2/0_2.png
5/2/2023,42.278967,-82.164521,Cleveland,Ohio,Apparition matched description of local legend.,Morning,White Lady,
4/29/2025,41.599365,-81.473687,Cleveland,Ohio,Temperature dropped suddenly by 10°F.,Afternoon,Orbs,https://cdn.midjourney.com/6c1d34b3-77c9-4475-a67e-5afffc90b88b/0_3.png
5/4/2022,41.548187,-81.521379,Cleveland,Ohio,Scent of old perfume noticed with no source.,Morning,White Lady,https://cdn.midjourney.com/6c1d34b3-77c9-4475-a67e-5afffc90b88b/0_3.png
8/18/2025,40.068538,-82.871807,Columbus,Ohio,Old radio emitted static and a faint melody.,Afternoon,White Lady,https://cdn.midjourney.com/8b1e424a-b365-4c8e-9853-603b893d780a/0_1.png
2/25/2023,41.441367,-81.884715,Cleveland,Ohio,Old radio emitted static and a faint melody.,Evening,White Lady,
8/10/2022,39.973419,-82.897619,Columbus,Ohio,Witness reported cold spots and flickering lights.,Dawn,White Lady,
3/20/2022,41.451405,-81.968202,Cleveland,Ohio,Temperature dropped suddenly by 10°F.,Midnight,Orbs,https://cdn.midjourney.com/d442d607-bfd7-4012-990c-fff219d116fc/0_2.png
2/25/2023,41.58348,-81.95201,Cleveland,Ohio,Figure disappeared upon approach.,Midnight,Phantom Sounds,
6/21/2025,41.76342,-82.08212,Cleveland,Ohio,Phantom footsteps heard in empty hallway.,Afternoon,Headless Spirit,
3/27/2022,41.459523,-81.604671,Cleveland,Ohio,Local dog barking frantically before sighting.,Evening,Poltergeist,
3/22/2023,41.479909,-81.888804,Cleveland,Ohio,Disembodied voice whispered a name.,Evening,White Lady,https://cdn.midjourney.com/90895f4f-c3a6-4faf-b2ee-b7a9ec71d9cd/0_1.png
12/31/2024,41.487229,-81.341325,Cleveland,Ohio,Apparition seen floating near old church grounds.,Afternoon,Headless Spirit,
7/16/2021,41.341098,-81.469685,Cleveland,Ohio,Apparition matched description of local legend.,Midnight,White Lady,
3/29/2023,41.609574,-81.881007,Cleveland,Ohio,Phantom footsteps heard in empty hallway.,Afternoon,Orbs,https://cdn.midjourney.com/ffba09ea-d1b0-419a-8a75-4d7e5a9770d2/0_1.png
10/7/2024,40.089503,-83.140016,Columbus,Ohio,Disembodied voice whispered a name.,Night,Orbs,https://cdn.midjourney.com/315d8dd8-0ac0-4935-9e0e-39cd7f4a0c00/0_2.png
11/3/2023,40.065065,-82.952592,Columbus,Ohio,Local dog barking frantically before sighting.,Night,Phantom Sounds,https://cdn.midjourney.com/ffba09ea-d1b0-419a-8a75-4d7e5a9770d2/0_0.png
11/25/2020,41.607163,-81.485587,Cleveland,Ohio,Disembodied voice whispered a name.,Evening,Shadow Figure,
2/26/2022,41.961432,-81.647336,Cleveland,Ohio,Apparition seen floating near old church grounds.,Midnight,Orbs,
10/12/2022,41.419028,-81.569037,Cleveland,Ohio,Witness reported cold spots and flickering lights.,Evening,Full-Body Apparition,
12/5/2023,40.006223,-83.008603,Columbus,Ohio,Witness captured blurry image on phone.,Dawn,Headless Spirit,https://cdn.midjourney.com/d442d607-bfd7-4012-990c-fff219d116fc/0_0.png
3/28/2021,41.868581,-82.206964,Cleveland,Ohio,Glowing orb photographed in backyard.,Morning,Full-Body Apparition,
1/28/2023,41.479374,-81.861915,Cleveland,Ohio,Apparition seen floating near old church grounds.,Night,White Lady,
6/3/2025,39.589468,-83.130341,Columbus,Ohio,Temperature dropped suddenly by 10°F.,Midnight,Full-Body Apparition,https://cdn.midjourney.com/6c1d34b3-77c9-4475-a67e-5afffc90b88b/0_3.png
8/9/2025,41.327555,-81.609055,Cleveland,Ohio,Scent of old perfume noticed with no source.,Afternoon,Shadow Figure,https://cdn.midjourney.com/8b1e424a-b365-4c8e-9853-603b893d780a/0_3.png
4/21/2025,39.8376,-83.037402,Columbus,Ohio,Disembodied voice whispered a name.,Morning,Full-Body Apparition,https://cdn.midjourney.com/7f74bbd0-d240-4d74-bb2a-6330b163a3f6/0_1.png
10/1/2024,40.02579,-83.000956,Columbus,Ohio,Disembodied voice whispered a name.,Morning,Orbs,https://cdn.midjourney.com/13275d75-635c-44d1-8170-b1c9a40f70c2/0_3.png
2/12/2023,41.510873,-81.745086,Cleveland,Ohio,Curtains moved though windows were shut.,Afternoon,Full-Body Apparition,https://cdn.midjourney.com/264110e6-20e4-4b2a-bf2d-cec6478fec84/0_1.png
7/21/2023,40.122622,-83.302254,Columbus,Ohio,Phantom footsteps heard in empty hallway.,Dawn,Shadow Figure,
9/18/2025,41.57286,-81.607916,Cleveland,Ohio,Flickering streetlamp coincided with sighting.,Morning,Poltergeist,https://cdn.midjourney.com/c8b325d2-ed83-40b4-8825-34f61c53d744/0_2.png
10/11/2021,39.675096,-82.676345,Columbus,Ohio,Apparition matched description of local legend.,Evening,Phantom Sounds,https://cdn.midjourney.com/ffba09ea-d1b0-419a-8a75-4d7e5a9770d2/0_0.png
4/10/2022,40.070555,-82.86432,Columbus,Ohio,Phantom footsteps heard in empty hallway.,Afternoon,Poltergeist,
6/15/2022,41.474996,-81.663777,Cleveland,Ohio,Old radio emitted static and a faint melody.,Evening,Headless Spirit,
5/8/2023,39.839477,-82.936859,Columbus,Ohio,Apparition seen floating near old church grounds.,Midnight,Poltergeist,https://cdn.midjourney.com/264110e6-20e4-4b2a-bf2d-cec6478fec84/0_0.png
3/12/2022,41.314719,-81.665437,Cleveland,Ohio,Apparition seen floating near old church grounds.,Morning,Orbs,https://cdn.midjourney.com/315d8dd8-0ac0-4935-9e0e-39cd7f4a0c00/0_3.png
6/29/2023,39.973236,-82.925123,Columbus,Ohio,Disembodied voice whispered a name.,Evening,White Lady,https://cdn.midjourney.com/d442d607-bfd7-4012-990c-fff219d116fc/0_3.png
5/25/2023,41.124417,-81.728724,Cleveland,Ohio,Figure disappeared upon approach.,Evening,Shadow Figure,https://cdn.midjourney.com/7f74bbd0-d240-4d74-bb2a-6330b163a3f6/0_1.png
6/21/2022,41.534599,-81.454101,Cleveland,Ohio,Electronic devices malfunctioned during sighting.,Evening,Poltergeist,https://cdn.midjourney.com/d442d607-bfd7-4012-990c-fff219d116fc/0_3.png
6/11/2021,40.036646,-83.563736,Columbus,Ohio,Figure disappeared upon approach.,Night,Headless Spirit,
10/24/2021,39.900434,-82.87045,Columbus,Ohio,Electronic devices malfunctioned during sighting.,Dawn,Orbs,https://cdn.midjourney.com/3cf03f49-9828-4ae6-ad23-27e54684740e/0_0.png
3/2/2023,39.857334,-82.977181,Columbus,Ohio,Scent of old perfume noticed with no source.,Dawn,Headless Spirit,
10/24/2022,39.953043,-83.017876,Columbus,Ohio,Local dog barking frantically before sighting.,Dawn,Shadow Figure,
12/16/2020,40.036077,-82.891414,Columbus,Ohio,Temperature dropped suddenly by 10°F.,Evening,Full-Body Apparition,https://cdn.midjourney.com/d442d607-bfd7-4012-990c-fff219d116fc/0_3.png
1/16/2024,41.624035,-81.654406,Cleveland,Ohio,Apparition matched description of local legend.,Morning,Headless Spirit,
9/9/2025,41.388049,-81.68117,Cleveland,Ohio,Witness captured blurry image on phone.,Night,Poltergeist,https://cdn.midjourney.com/d442d607-bfd7-4012-990c-fff219d116fc/0_2.png
11/11/2024,41.599461,-81.514919,Cleveland,Ohio,Disembodied voice whispered a name.,Morning,White Lady,https://cdn.midjourney.com/3cf03f49-9828-4ae6-ad23-27e54684740e/0_0.png
9/22/2023,40.108174,-83.212675,Columbus,Ohio,Apparition matched description of local legend.,Midnight,White Lady,https://cdn.midjourney.com/7f74bbd0-d240-4d74-bb2a-6330b163a3f6/0_1.png
7/9/2021,39.957553,-82.965984,Columbus,Ohio,Local dog barking frantically before sighting.,Evening,Orbs,https://cdn.midjourney.com/ffba09ea-d1b0-419a-8a75-4d7e5a9770d2/0_2.png
1/9/2025,41.361074,-81.853565,Cleveland,Ohio,Old radio emitted static and a faint melody.,Midnight,Phantom Sounds,https://cdn.midjourney.com/c8b325d2-ed83-40b4-8825-34f61c53d744/0_0.png
6/28/2025,41.506001,-81.925985,Cleveland,Ohio,Apparition seen floating near old church grounds.,Night,Full-Body Apparition,
9/20/2024,41.530951,-81.974027,Cleveland,Ohio,Flickering streetlamp coincided with sighting.,Morning,White Lady,https://cdn.midjourney.com/3e0859e1-71b5-4435-a31c-4a856d9076de/0_2.png
4/29/2024,39.964196,-82.934155,Columbus,Ohio,Phantom footsteps heard in empty hallway.,Afternoon,Full-Body Apparition,https://cdn.midjourney.com/6c1d34b3-77c9-4475-a67e-5afffc90b88b/0_3.png
7/28/2025,40.096558,-83.255711,Columbus,Ohio,Figure disappeared upon approach.,Afternoon,Phantom Sounds,https://cdn.midjourney.com/c8b325d2-ed83-40b4-8825-34f61c53d744/0_3.png
12/5/2023,40.119944,-83.094804,Columbus,Ohio,Temperature dropped suddenly by 10°F.,Midnight,Phantom Sounds,https://cdn.midjourney.com/ffba09ea-d1b0-419a-8a75-4d7e5a9770d2/0_3.png
1/25/2025,39.813527,-82.927981,Columbus,Ohio,Apparition matched description of local legend.,Evening,Phantom Sounds,
12/10/2022,39.832636,-82.814776,Columbus,Ohio,Apparition seen floating near old church grounds.,Morning,Full-Body Apparition,https://cdn.midjourney.com/3e0859e1-71b5-4435-a31c-4a856d9076de/0_3.png
11/26/2021,41.433926,-81.830257,Cleveland,Ohio,Witness captured blurry image on phone.,Night,Full-Body Apparition,
8/27/2022,39.796076,-82.981243,Columbus,Ohio,Disembodied voice whispered a name.,Morning,Shadow Figure,https://cdn.midjourney.com/3e0859e1-71b5-4435-a31c-4a856d9076de/0_2.png
5/14/2023,41.150165,-81.811341,Cleveland,Ohio,Flickering streetlamp coincided with sighting.,Night,Headless Spirit,https://cdn.midjourney.com/d442d607-bfd7-4012-990c-fff219d116fc/0_3.png
10/1/2021,41.392869,-81.861784,Cleveland,Ohio,Witness reported cold spots and flickering lights.,Afternoon,Full-Body Apparition,
3/26/2025,39.903699,-83.322274,Columbus,Ohio,Apparition matched description of local legend.,Afternoon,Shadow Figure,https://cdn.midjourney.com/c8b325d2-ed83-40b4-8825-34f61c53d744/0_0.png
4/26/2024,39.883578,-82.980793,Columbus,Ohio,Figure disappeared upon approach.,Afternoon,Headless Spirit,https://cdn.midjourney.com/f4eb59bf-e6a9-47f8-9a00-769309f0403b/0_0.png
12/2/2023,41.421081,-81.740063,Cleveland,Ohio,Flickering streetlamp coincided with sighting.,Midnight,Orbs,https://cdn.midjourney.com/2519c7d3-5e9e-4691-8bad-a83ed41a3cb1/0_1.png
4/30/2023,41.74178,-81.552888,Cleveland,Ohio,Curtains moved though windows were shut.,Midnight,White Lady,https://cdn.midjourney.com/6c1d34b3-77c9-4475-a67e-5afffc90b88b/0_3.png
12/6/2020,41.525635,-81.844813,Cleveland,Ohio,Glowing orb photographed in backyard.,Dawn,Full-Body Apparition,https://cdn.midjourney.com/2519c7d3-5e9e-4691-8bad-a83ed41a3cb1/0_1.png
8/3/2022,41.089669,-81.340097,Cleveland,Ohio,Glowing orb photographed in backyard.,Dawn,Phantom Sounds,https://cdn.midjourney.com/3e0859e1-71b5-4435-a31c-4a856d9076de/0_0.png
4/23/2025,41.421001,-81.722438,Cleveland,Ohio,Curtains moved though windows were shut.,Afternoon,Phantom Sounds,https://cdn.midjourney.com/90895f4f-c3a6-4faf-b2ee-b7a9ec71d9cd/0_1.png
12/29/2023,41.440536,-81.616232,Cleveland,Ohio,Phantom footsteps heard in empty hallway.,Afternoon,Shadow Figure,
1/24/2022,41.528738,-81.735545,Cleveland,Ohio,Temperature dropped suddenly by 10°F.,Midnight,Phantom Sounds,
4/10/2022,41.320495,-81.56377,Cleveland,Ohio,Figure disappeared upon approach.,Evening,Full-Body Apparition,https://cdn.midjourney.com/2519c7d3-5e9e-4691-8bad-a83ed41a3cb1/0_3.png
11/17/2021,39.986133,-82.943101,Columbus,Ohio,Temperature dropped suddenly by 10°F.,Dawn,Phantom Sounds,https://cdn.midjourney.com/315d8dd8-0ac0-4935-9e0e-39cd7f4a0c00/0_1.png
7/26/2021,39.985322,-83.019375,Columbus,Ohio,Curtains moved though windows were shut.,Dawn,Poltergeist,
8/7/2021,41.320611,-81.862786,Cleveland,Ohio,Flickering streetlamp coincided with sighting.,Midnight,Shadow Figure,
7/2/2021,41.419772,-81.800735,Cleveland,Ohio,Glowing orb photographed in backyard.,Midnight,Headless Spirit,
2/27/2025,41.494592,-81.55847,Cleveland,Ohio,Electronic devices malfunctioned during sighting.,Midnight,Orbs,
8/1/2023,39.962525,-82.696739,Columbus,Ohio,Apparition matched description of local legend.,Afternoon,White Lady,https://cdn.midjourney.com/8b1e424a-b365-4c8e-9853-603b893d780a/0_3.png
3/11/2024,39.663712,-83.019937,Columbus,Ohio,Disembodied voice whispered a name.,Dawn,Headless Spirit,https://cdn.midjourney.com/3e0859e1-71b5-4435-a31c-4a856d9076de/0_2.png
4/1/2024,40.029095,-83.173126,Columbus,Ohio,Curtains moved though windows were shut.,Afternoon,Phantom Sounds,https://cdn.midjourney.com/ffba09ea-d1b0-419a-8a75-4d7e5a9770d2/0_0.png
5/2/2023,41.961436,-82.340866,Cleveland,Ohio,Electronic devices malfunctioned during sighting.,Afternoon,Phantom Sounds,https://cdn.midjourney.com/d442d607-bfd7-4012-990c-fff219d116fc/0_3.png
4/14/2024,41.425041,-81.196087,Cleveland,Ohio,Figure disappeared upon approach.,Midnight,Phantom Sounds,https://cdn.midjourney.com/2519c7d3-5e9e-4691-8bad-a83ed41a3cb1/0_0.png
10/5/2024,39.596824,-82.879869,Columbus,Ohio,Temperature dropped suddenly by 10°F.,Night,Poltergeist,https://cdn.midjourney.com/90895f4f-c3a6-4faf-b2ee-b7a9ec71d9cd/0_1.png
1/10/2021,41.247505,-82.157514,Cleveland,Ohio,Local dog barking frantically before sighting.,Dawn,Full-Body Apparition,
5/16/2023,41.678312,-81.660342,Cleveland,Ohio,Witness captured blurry image on phone.,Evening,Shadow Figure,
4/22/2025,39.871537,-82.839339,Columbus,Ohio,Flickering streetlamp coincided with sighting.,Night,Phantom Sounds,https://cdn.midjourney.com/90895f4f-c3a6-4faf-b2ee-b7a9ec71d9cd/0_1.png
2/16/2022,39.890251,-82.951672,Columbus,Ohio,Old radio emitted static and a faint melody.,Dawn,Orbs,https://cdn.midjourney.com/8b1e424a-b365-4c8e-9853-603b893d780a/0_1.png
5/14/2023,39.854608,-83.296316,Columbus,Ohio,Phantom footsteps heard in empty hallway.,Afternoon,Shadow Figure,
10/1/2022,41.83488,-81.492999,Cleveland,Ohio,Figure disappeared upon approach.,Night,Shadow Figure,https://cdn.midjourney.com/7f74bbd0-d240-4d74-bb2a-6330b163a3f6/0_0.png
8/21/2022,39.832865,-82.945636,Columbus,Ohio,Apparition matched description of local legend.,Morning,Full-Body Apparition,
1/26/2024,40.021678,-82.800209,Columbus,Ohio,Witness reported cold spots and flickering lights.,Night,Orbs,https://cdn.midjourney.com/13275d75-635c-44d1-8170-b1c9a40f70c2/0_2.png
11/11/2022,41.287336,-81.395971,Cleveland,Ohio,Disembodied voice whispered a name.,Evening,Headless Spirit,https://cdn.midjourney.com/13275d75-635c-44d1-8170-b1c9a40f70c2/0_1.png
7/30/2024,39.875232,-83.084694,Columbus,Ohio,Temperature dropped suddenly by 10°F.,Morning,Orbs,https://cdn.midjourney.com/ffba09ea-d1b0-419a-8a75-4d7e5a9770d2/0_3.png
1/25/2022,39.823488,-82.78743,Columbus,Ohio,Figure disappeared upon approach.,Night,Shadow Figure,https://cdn.midjourney.com/8b1e424a-b365-4c8e-9853-603b893d780a/0_1.png
5/29/2022,40.107451,-82.856915,Columbus,Ohio,Witness captured blurry image on phone.,Dawn,Headless Spirit,https://cdn.midjourney.com/3cf03f49-9828-4ae6-ad23-27e54684740e/0_2.png
12/27/2021,41.550511,-81.500599,Cleveland,Ohio,Witness reported cold spots and flickering lights.,Dawn,Shadow Figure,
3/21/2021,41.771424,-81.067595,Cleveland,Ohio,Figure disappeared upon approach.,Morning,Shadow Figure,https://cdn.midjourney.com/90895f4f-c3a6-4faf-b2ee-b7a9ec71d9cd/0_0.png
3/9/2025,40.038356,-83.050462,Columbus,Ohio,Old radio emitted static and a faint melody.,Dawn,White Lady,https://cdn.midjourney.com/d442d607-bfd7-4012-990c-fff219d116fc/0_2.png
8/22/2023,41.287145,-81.418916,Cleveland,Ohio,Witness reported cold spots and flickering lights.,Night,Orbs,https://cdn.midjourney.com/8b1e424a-b365-4c8e-9853-603b893d780a/0_1.png
12/3/2023,39.753458,-83.23139,Columbus,Ohio,Electronic devices malfunctioned during sighting.,Dawn,Phantom Sounds,https://cdn.midjourney.com/3cf03f49-9828-4ae6-ad23-27e54684740e/0_0.png
4/30/2024,41.969013,-81.613438,Cleveland,Ohio,Old radio emitted static and a faint melody.,Midnight,Shadow Figure,https://cdn.midjourney.com/6c1d34b3-77c9-4475-a67e-5afffc90b88b/0_3.png
7/24/2024,41.254026,-82.048433,Cleveland,Ohio,Glowing orb photographed in backyard.,Night,Orbs,https://cdn.midjourney.com/90895f4f-c3a6-4faf-b2ee-b7a9ec71d9cd/0_1.png
7/15/2021,41.485094,-81.48233,Cleveland,Ohio,Scent of old perfume noticed with no source.,Dawn,Headless Spirit,https://cdn.midjourney.com/264110e6-20e4-4b2a-bf2d-cec6478fec84/0_0.png
5/19/2021,39.976788,-82.821451,Columbus,Ohio,Glowing orb photographed in backyard.,Morning,Phantom Sounds,https://cdn.midjourney.com/2519c7d3-5e9e-4691-8bad-a83ed41a3cb1/0_3.png
12/31/2024,41.432759,-81.628845,Cleveland,Ohio,Glowing orb photographed in backyard.,Evening,Orbs,
12/28/2024,41.017152,-81.286979,Cleveland,Ohio,Flickering streetlamp coincided with sighting.,Evening,Phantom Sounds,https://cdn.midjourney.com/3cf03f49-9828-4ae6-ad23-27e54684740e/0_0.png
9/15/2024,40.079611,-82.990695,Columbus,Ohio,Local dog barking frantically before sighting.,Midnight,White Lady,
11/27/2024,40.522719,-82.600309,Columbus,Ohio,Temperature dropped suddenly by 10°F.,Afternoon,Headless Spirit,https://cdn.midjourney.com/264110e6-20e4-4b2a-bf2d-cec6478fec84/0_1.png
6/3/2025,39.979418,-82.812422,Columbus,Ohio,Witness captured blurry image on phone.,Midnight,Phantom Sounds,https://cdn.midjourney.com/8b1e424a-b365-4c8e-9853-603b893d780a/0_0.png
1/19/2021,40.222176,-83.377512,Columbus,Ohio,Phantom footsteps heard in empty hallway.,Midnight,White Lady,https://cdn.midjourney.com/f4eb59bf-e6a9-47f8-9a00-769309f0403b/0_3.png
